latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-10.38626,34.97153,311.74,0.78,0.78,2026-05-07,1,N,VIIRS,n,2.0NRT,285.9,2.92,N
-8.20365,32.76895,302.43,0.52,0.67,2026-05-07,1,N,VIIRS,n,2.0NRT,288.0,0.88,N
-6.85891,12.39353,319.0,0.37,0.58,2026-05-07,1,N,VIIRS,n,2.0NRT,287.29,8.19,N
-6.8583,12.39014,367.0,0.37,0.58,2026-05-07,1,N,VIIRS,h,2.0NRT,288.42,8.19,N
-6.24294,10.7331,311.51,0.49,0.65,2026-05-07,1,N,VIIRS,n,2.0NRT,286.5,5.29,N
-6.24211,10.72858,367.0,0.49,0.65,2026-05-07,1,N,VIIRS,h,2.0NRT,287.3,5.29,N
-6.14428,11.03012,304.8,0.47,0.64,2026-05-07,1,N,VIIRS,n,2.0NRT,287.37,1.13,N
-6.13835,11.03123,311.25,0.47,0.64,2026-05-07,1,N,VIIRS,n,2.0NRT,287.51,1.13,N
-6.07276,11.09294,306.0,0.47,0.64,2026-05-07,1,N,VIIRS,n,2.0NRT,287.66,2.34,N
-6.07201,11.08862,318.96,0.47,0.64,2026-05-07,1,N,VIIRS,n,2.0NRT,287.88,3.84,N
-6.06985,11.09286,337.61,0.47,0.64,2026-05-07,1,N,VIIRS,n,2.0NRT,287.78,5.94,N
-6.06907,11.08857,332.79,0.47,0.64,2026-05-07,1,N,VIIRS,n,2.0NRT,287.72,7.17,N
-6.06685,11.09403,307.98,0.47,0.64,2026-05-07,1,N,VIIRS,n,2.0NRT,287.53,2.34,N
-6.06609,11.08972,331.27,0.47,0.64,2026-05-07,1,N,VIIRS,n,2.0NRT,287.48,3.84,N
-5.09407,25.95153,304.99,0.5,0.41,2026-05-07,1,N,VIIRS,n,2.0NRT,284.1,0.72,N
-4.92363,11.38142,322.07,0.47,0.64,2026-05-07,1,N,VIIRS,n,2.0NRT,282.94,3.71,N
-4.92289,11.37713,319.79,0.47,0.64,2026-05-07,1,N,VIIRS,n,2.0NRT,283.08,4.55,N
-4.91971,11.37977,319.1,0.47,0.64,2026-05-07,1,N,VIIRS,n,2.0NRT,283.25,3.4,N
-4.78261,25.85795,303.61,0.49,0.41,2026-05-07,1,N,VIIRS,n,2.0NRT,288.95,0.82,N
-4.78192,25.85348,304.07,0.49,0.41,2026-05-07,1,N,VIIRS,n,2.0NRT,289.4,0.82,N
-4.53226,11.51947,325.63,0.46,0.64,2026-05-07,1,N,VIIRS,n,2.0NRT,275.73,2.62,N
-4.52256,11.41322,301.74,0.47,0.64,2026-05-07,1,N,VIIRS,n,2.0NRT,276.89,1.01,N
-4.52061,11.41516,322.11,0.47,0.64,2026-05-07,1,N,VIIRS,n,2.0NRT,277.18,2.2,N
-4.51972,11.51733,297.82,0.46,0.64,2026-05-07,1,N,VIIRS,n,2.0NRT,274.87,1.08,N
-4.51661,11.41427,305.08,0.47,0.64,2026-05-07,1,N,VIIRS,n,2.0NRT,277.24,1.01,N
-4.51455,11.52266,303.5,0.46,0.64,2026-05-07,1,N,VIIRS,n,2.0NRT,274.86,1.08,N
-4.51381,11.51839,309.44,0.46,0.64,2026-05-07,1,N,VIIRS,n,2.0NRT,274.56,1.08,N
-4.17059,24.92899,303.13,0.44,0.38,2026-05-07,1,N,VIIRS,n,2.0NRT,274.44,0.89,N
1.87973,26.38909,301.3,0.44,0.39,2026-05-07,1,N,VIIRS,n,2.0NRT,270.37,0.66,N
-18.37005,26.47538,323.4,0.54,0.51,2026-05-07,3,N,VIIRS,n,2.0NRT,291.08,3.83,N
-18.36699,26.44958,306.13,0.54,0.5,2026-05-07,3,N,VIIRS,n,2.0NRT,291.08,3.14,N
-18.36536,26.4761,305.54,0.54,0.51,2026-05-07,3,N,VIIRS,n,2.0NRT,289.79,1.06,N
-18.36314,26.66278,304.18,0.55,0.51,2026-05-07,3,N,VIIRS,n,2.0NRT,289.65,0.79,N
-18.36254,26.65752,301.89,0.55,0.51,2026-05-07,3,N,VIIRS,n,2.0NRT,289.44,0.63,N
-18.34932,26.42114,313.21,0.53,0.5,2026-05-07,3,N,VIIRS,n,2.0NRT,288.03,2.06,N
-17.82139,31.19801,298.77,0.54,0.68,2026-05-07,3,N,VIIRS,n,2.0NRT,285.39,0.99,N
-17.32794,27.20713,301.53,0.58,0.52,2026-05-07,3,N,VIIRS,n,2.0NRT,289.97,1.93,N
-14.49008,28.46445,304.87,0.32,0.55,2026-05-07,3,N,VIIRS,n,2.0NRT,288.91,1.25,N
-14.47102,28.43593,302.54,0.32,0.55,2026-05-07,3,N,VIIRS,n,2.0NRT,288.01,0.85,N
-14.46084,28.43727,299.39,0.32,0.55,2026-05-07,3,N,VIIRS,n,2.0NRT,288.84,0.71,N
-14.31945,15.21726,297.3,0.55,0.43,2026-05-07,3,N,VIIRS,n,2.0NRT,287.23,0.7,N
-14.15397,30.31325,306.34,0.42,0.61,2026-05-07,3,N,VIIRS,n,2.0NRT,290.8,0.86,N
-13.711,26.80509,299.05,0.49,0.49,2026-05-07,3,N,VIIRS,n,2.0NRT,287.42,0.55,N
-13.19805,28.92587,297.69,0.33,0.56,2026-05-07,3,N,VIIRS,n,2.0NRT,286.98,0.45,N
-12.97621,28.72334,304.3,0.32,0.55,2026-05-07,3,N,VIIRS,n,2.0NRT,287.35,1.17,N
-12.93242,14.9894,302.63,0.4,0.44,2026-05-07,3,N,VIIRS,n,2.0NRT,285.53,0.85,N
-12.65728,28.10408,299.72,0.58,0.52,2026-05-07,3,N,VIIRS,n,2.0NRT,288.82,1.11,N
-12.63232,29.89428,302.83,0.38,0.59,2026-05-07,3,N,VIIRS,n,2.0NRT,288.23,0.56,N
-10.98237,26.05257,307.9,0.4,0.45,2026-05-07,3,N,VIIRS,n,2.0NRT,284.46,0.83,N
-10.98075,26.0557,303.0,0.4,0.45,2026-05-07,3,N,VIIRS,n,2.0NRT,284.36,0.73,N
-10.98022,26.05195,299.16,0.4,0.45,2026-05-07,3,N,VIIRS,n,2.0NRT,284.16,0.82,N
-10.74631,21.15063,305.5,0.39,0.36,2026-05-07,3,N,VIIRS,n,2.0NRT,286.99,0.81,N
-10.72137,25.97711,305.47,0.4,0.44,2026-05-07,3,N,VIIRS,n,2.0NRT,283.12,0.87,N
-10.67538,25.97594,308.19,0.4,0.44,2026-05-07,3,N,VIIRS,n,2.0NRT,284.73,1.73,N
-10.67283,25.9875,320.06,0.4,0.44,2026-05-07,3,N,VIIRS,n,2.0NRT,286.24,2.26,N
-10.67231,25.98383,316.55,0.4,0.44,2026-05-07,3,N,VIIRS,n,2.0NRT,285.18,1.89,N
-24.81796,30.11858,326.78,0.54,0.68,2026-05-07,5,N,VIIRS,n,2.0NRT,286.99,2.9,N
-24.81756,30.11315,300.5,0.54,0.68,2026-05-07,5,N,VIIRS,n,2.0NRT,283.0,2.9,N
-22.79693,29.02416,299.3,0.44,0.62,2026-05-07,5,N,VIIRS,n,2.0NRT,279.86,0.17,N
-21.86893,30.53421,311.72,0.54,0.68,2026-05-07,5,N,VIIRS,n,2.0NRT,283.39,0.12,N
-21.34661,18.61917,295.88,0.38,0.36,2026-05-07,5,N,VIIRS,n,2.0NRT,278.42,0.03,N
-20.41808,16.67303,297.62,0.41,0.37,2026-05-07,5,N,VIIRS,n,2.0NRT,279.72,0.67,N
-20.08195,28.53294,310.52,0.38,0.59,2026-05-07,5,N,VIIRS,n,2.0NRT,284.51,1.95,N
-20.08157,28.52921,303.42,0.38,0.59,2026-05-07,5,N,VIIRS,n,2.0NRT,284.35,2.36,N
-19.5203,17.45003,295.88,0.39,0.37,2026-05-07,5,N,VIIRS,n,2.0NRT,283.99,0.42,N
